Date,EquivShifts
01/01/2017,3.23
01/02/2017,2.90
01/03/2017,3.09
01/04/2017,2.98
01/05/2017,3.04
01/06/2017,2.96
01/07/2017,2.88
01/08/2017,3.13
01/09/2017,3.08
01/10/2017,3.07
01/11/2017,3.00
01/12/2017,2.79
01/01/2018,3.06
01/02/2018,2.84
01/03/2018,2.80
01/04/2018,2.99
01/05/2018,3.07
01/06/2018,3.06
01/07/2018,3.05
01/08/2018,3.11
01/09/2018,3.00
01/10/2018,3.07
01/11/2018,3.04
01/12/2018,2.85
01/01/2019,3.08
01/02/2019,2.93
01/03/2019,2.91
01/04/2019,3.01
01/05/2019,3.04
01/06/2019,2.96
01/07/2019,3.08
